OBS,AGE,GENDER,CHK_ACCT,SAV_ACCT,NUM_CREDITS,DURATION,HISTORY,PRESENT_RESIDENT,EMPLOYMENT,JOB,NUM_DEPENDENTS,RENT,INSTALL_RATE,GUARANTOR,OTHER_INSTALL,OWN_RES,TELEPHONE,FOREIGN,REAL_ESTATE,TYPE,AMOUNT_REQUESTED,CREDIT_EXTENDED,NPV,IsProfitable,MySample,NPV_Predicted
836,28,male,3,0,1,12,2,2,2,2,1,0,4,0,0,1,0,0,1,4,776,543,104,1,T,409.3278262
679,40,male,3,2,1,22,2,4,4,2,1,0,3,0,0,1,0,0,0,4,2675,1605,289,1,T,238.6967348
129,50,female,3,0,1,12,2,2,2,2,1,0,4,0,0,1,0,0,1,3,1574,1416,446,1,T,270.65328
930,32,female,1,3,2,21,4,2,3,2,1,0,3,0,0,1,1,0,0,3,2745,1647,171,1,T,161.9870791
509,29,male,3,0,2,12,4,2,2,3,1,0,4,1,0,1,1,0,1,6,1412,988,181,1,T,-181.1161407
471,32,male,1,0,1,27,2,1,1,2,2,0,4,0,0,1,1,0,0,6,2528,1769,424,1,T,-1196.513856
299,28,male,2,1,1,21,2,1,2,3,1,0,1,0,1,1,1,0,0,1,2923,1753,357,1,T,164.0900952
270,29,male,1,1,1,24,2,1,1,2,1,0,2,0,0,1,0,0,0,4,2896,2027,390,1,T,-273.0863216
978,67,male,1,0,1,18,2,4,0,2,1,0,2,0,0,1,1,0,0,0,3872,3872,1149,1,T,-454.9704662
187,28,female,3,0,1,18,3,2,2,2,1,0,4,0,0,1,1,0,0,6,2169,1952,-1355,0,T,-138.23329
307,25,male,1,0,1,48,0,2,2,2,1,0,2,0,0,1,1,0,0,6,14421,10094,-7360,0,T,-2215.01928
597,26,male,1,4,1,30,2,1,2,2,1,0,4,0,0,1,0,0,0,4,1715,1029,240,1,T,8.279915569
277,24,male,0,0,1,12,2,3,2,1,1,0,4,0,0,1,0,0,0,4,2214,1328,266,1,T,-46.19223307
874,45,female,3,0,2,6,4,3,3,3,2,0,1,0,0,1,1,0,0,1,6761,6084,1037,1,T,387.9669198
950,28,female,2,1,2,6,4,4,4,2,2,0,2,0,0,1,1,0,0,1,1323,1058,166,1,T,454.4906021
494,23,female,0,0,1,12,2,1,2,2,1,0,4,0,1,1,0,0,0,4,1498,1498,439,1,T,-46.19223307
330,56,male,2,0,1,42,4,4,4,2,1,0,4,0,0,0,0,0,0,2,4796,3357,764,1,T,-96.6661584
775,37,male,0,0,1,12,2,1,1,1,1,0,3,0,0,1,0,0,1,1,1274,637,-268,0,T,-265.9635562
841,26,male,3,2,1,24,2,2,4,3,1,0,3,0,0,1,1,0,0,4,3235,1617,258,1,T,196.1622716
591,20,male,0,0,1,12,2,2,2,3,2,1,2,0,0,0,1,0,1,4,1107,885,208,1,T,-59.3474173
725,35,male,3,1,1,6,0,1,2,2,1,1,4,0,1,0,0,1,0,1,1204,722,147,1,T,-603.9161569
37,61,male,1,4,1,18,2,4,2,2,1,0,4,0,0,0,0,0,0,5,1239,867,194,1,T,-209.6819788
105,26,male,1,2,1,12,2,1,2,2,1,0,3,0,0,1,1,0,0,4,1158,926,253,1,T,111.0190007
729,31,female,1,1,1,48,3,4,0,3,1,0,2,0,0,0,1,0,0,0,7582,6065,1366,1,T,-666.4744854
878,38,male,3,3,2,36,4,2,4,3,1,0,4,0,0,1,1,0,0,2,5711,4568,987,1,T,135.38571
485,47,male,3,0,3,18,2,4,4,2,2,0,4,0,1,1,1,0,0,3,3422,3079,322,1,T,-516.4304878
677,31,male,0,0,1,30,2,4,1,1,1,0,2,0,0,1,0,0,0,3,3108,2797,-1444,0,T,-674.6656054
802,44,male,1,0,1,24,2,2,4,3,1,0,4,0,0,0,1,0,0,2,12579,10063,-3320,0,T,-513.0703569
987,24,male,0,0,1,12,2,4,4,2,1,1,4,0,0,0,0,0,0,3,652,456,112,1,T,-435.8487933
382,54,female,0,0,1,48,2,4,2,2,1,0,3,0,0,1,0,0,0,0,3051,1830,-555,0,T,-886.4662427
601,53,male,3,2,1,24,2,4,4,2,1,0,3,0,0,1,0,0,0,3,2835,1984,411,1,T,57.48772542
940,43,male,3,3,2,24,4,1,2,1,1,0,4,0,0,1,0,0,1,4,1516,1061,172,1,T,466.4518287
801,61,male,3,3,1,12,2,4,3,1,1,0,2,0,0,1,0,0,1,4,3059,2447,540,1,T,1059.019886
852,43,male,0,1,1,6,2,2,4,2,1,0,3,0,0,1,1,0,0,1,1203,842,162,1,T,-11.24017046
931,22,female,1,0,1,9,2,4,2,1,1,1,4,0,0,0,0,0,1,1,276,220,50,1,T,-428.9803675
326,35,male,3,1,2,24,3,3,2,2,1,0,2,0,0,1,0,0,0,3,4151,2490,413,1,T,244.2878399
984,46,male,3,0,2,24,4,3,4,2,1,0,4,0,0,1,0,0,1,4,2611,2349,482,1,T,125.5130794
554,33,male,2,0,1,21,4,1,1,2,1,1,2,0,0,0,0,0,0,5,2319,1159,-874,0,T,-141.1971017
422,51,male,3,4,1,36,4,2,4,2,1,0,4,0,0,1,1,0,0,4,3342,2673,725,1,T,443.0770547
111,24,male,1,0,1,36,2,4,3,2,1,1,4,0,0,0,0,0,0,4,2323,1393,296,1,T,-541.8279733
404,33,female,2,0,1,12,2,1,1,3,1,0,4,0,1,1,1,0,0,3,1474,1474,454,1,T,162.6516319
924,39,male,0,0,1,30,2,3,4,2,2,0,1,1,0,1,0,0,0,4,2522,1765,376,1,T,-468.8340739
532,31,female,0,0,1,36,1,4,4,2,1,0,4,0,1,1,0,0,0,3,2746,2196,-989,0,T,-1192.416066
506,26,female,3,4,1,6,1,2,2,1,2,0,1,1,1,1,0,0,1,1,783,626,163,1,T,328.7884743
556,22,male,1,0,1,12,2,1,1,2,1,0,2,0,1,1,0,0,0,4,1331,798,-277,0,T,-275.837711
889,34,male,3,0,2,36,4,4,4,3,1,0,4,0,0,1,1,0,0,1,6614,3307,261,1,T,-638.4666823
343,34,male,3,1,2,21,3,3,3,3,1,0,4,0,0,1,0,0,1,3,1591,1431,249,1,T,854.6696747
582,54,female,1,0,1,36,3,2,2,2,1,1,2,0,0,0,0,0,0,1,7432,4459,801,1,T,-821.4856764
121,27,male,0,0,1,12,2,3,2,1,1,0,4,0,0,1,0,0,1,1,1168,934,251,1,T,-158.9748991
40,30,male,3,0,1,18,2,2,2,3,1,0,2,0,0,1,1,0,0,1,1820,1820,542,1,T,-227.0485458
684,21,male,3,4,1,12,2,2,2,2,1,0,4,0,0,1,0,0,0,4,886,797,197,1,T,771.2718067
537,36,female,3,0,1,12,2,4,3,2,1,0,2,0,0,1,1,0,0,6,1542,925,163,1,T,-41.75002128
375,22,female,0,2,1,24,1,4,2,2,1,0,4,0,1,1,1,0,1,3,2483,2234,565,1,T,-419.514402
248,28,male,0,0,1,9,2,3,2,1,1,0,4,0,0,1,0,0,0,1,654,457,-188,0,T,-293.1683624
198,43,male,3,0,1,24,2,4,2,1,2,0,1,0,0,1,0,0,0,1,7393,4435,767,1,T,-354.6519355
378,52,female,3,1,2,24,4,4,4,2,1,0,4,0,1,1,0,0,0,4,2223,1333,188,1,T,185.4760901
39,39,male,0,4,1,20,2,4,3,2,1,0,4,0,0,1,1,0,0,3,2212,2212,611,1,T,553.5194883
435,37,male,2,0,1,10,2,1,1,1,2,0,1,1,0,1,0,0,0,1,3949,3159,925,1,T,33.08281717
810,36,male,1,0,1,36,4,4,4,2,1,0,4,0,0,1,0,0,1,4,2337,2337,698,1,T,-299.0486478
390,34,male,1,0,2,36,4,4,2,2,1,0,3,0,0,1,1,0,0,2,5800,4640,651,1,T,-506.0714179
280,27,female,3,4,2,6,4,2,2,2,1,0,1,0,0,1,0,0,0,3,1221,854,148,1,T,771.4243546
672,40,male,3,4,2,30,4,2,4,2,2,0,3,0,0,1,1,0,0,4,3077,1538,112,1,T,359.8536702
526,27,female,1,4,1,60,3,1,2,1,1,0,1,0,0,1,0,0,1,4,7418,5192,1304,1,T,-52.03677198
642,33,female,0,0,1,12,2,1,1,1,2,0,4,0,0,1,0,0,1,1,2579,2321,-1291,0,T,-265.9635562
45,39,female,3,0,1,12,2,4,4,3,1,0,4,0,0,1,1,0,0,1,1884,1507,415,1,T,-139.2768278
402,28,male,0,0,1,15,2,4,2,2,1,1,2,0,0,0,0,0,0,1,1403,1122,257,1,T,-631.9220944
22,33,male,3,4,2,9,4,2,2,2,2,0,1,0,0,1,0,0,1,4,3074,2151,262,1,T,1044.292364
718,52,female,0,2,2,6,4,4,4,2,1,0,4,0,0,1,0,0,0,4,338,202,22,1,T,332.6712439
742,23,male,0,4,2,18,3,2,2,2,1,1,1,0,0,0,1,0,0,5,8471,4235,463,1,T,81.85317076
193,37,male,3,2,1,48,3,1,3,3,1,0,4,0,0,1,1,0,0,4,12749,12749,3442,1,T,453.8704691
371,41,female,1,1,2,30,3,2,4,2,1,0,4,0,1,1,0,0,0,6,2503,2002,313,1,T,-766.3220685
499,30,female,3,0,2,24,4,2,3,1,1,0,2,0,0,1,0,0,0,3,2028,1419,217,1,T,177.2600287
104,27,male,0,0,1,24,2,2,2,2,1,0,2,0,1,1,0,0,0,3,4020,3618,879,1,T,-440.0735587
965,40,female,0,0,1,12,2,4,2,1,2,1,4,0,0,0,0,0,0,5,684,615,-487,0,T,-519.3609068
767,27,female,3,0,1,48,1,1,2,2,1,0,1,0,1,1,0,0,1,6,3609,2165,473,1,T,-1415.264239
492,31,female,0,0,1,24,1,2,2,2,1,1,4,0,0,0,1,0,0,6,3161,3161,-2801,0,T,-1571.521082
838,57,female,1,0,1,36,2,2,4,3,1,0,4,0,0,0,1,0,0,1,14318,11454,-5352,0,T,-1241.022451
616,48,male,0,1,2,9,4,4,4,2,2,0,3,1,0,1,0,1,1,0,1288,1159,252,1,T,370.30115
615,39,male,0,0,2,6,4,4,4,2,1,0,1,0,0,1,1,0,0,1,860,688,111,1,T,-257.9746349
843,20,male,3,0,1,9,2,4,4,2,1,0,1,0,0,1,0,0,0,3,1313,787,154,1,T,96.62814507
465,32,male,0,0,2,18,4,1,3,3,1,0,4,0,0,1,1,0,0,4,1880,1316,219,1,T,186.0130634
525,25,male,3,0,1,24,2,1,3,2,1,0,4,0,0,1,1,0,1,6,1258,754,178,1,T,-98.96164257
808,39,female,3,4,1,54,0,2,2,1,2,0,2,0,0,1,0,0,0,2,9436,7548,1677,1,T,-638.8666477
977,63,female,3,0,2,12,4,4,4,1,1,0,2,0,0,1,1,0,1,4,1655,1489,288,1,T,380.7198589
176,23,female,0,0,1,18,2,2,1,1,1,0,1,0,0,1,0,0,0,1,976,683,-300,0,T,-591.562104
345,41,male,3,0,1,12,2,4,4,1,2,0,4,0,1,1,0,0,0,5,719,431,-280,0,T,-90.51733503
791,27,male,1,4,1,36,2,2,2,2,1,0,2,0,0,1,0,0,0,5,3711,2597,521,1,T,-381.3418056
110,54,male,0,0,1,12,4,3,4,2,1,0,4,0,0,1,0,0,1,2,1409,1268,318,1,T,495.9892224
84,44,male,3,2,2,24,3,2,2,2,2,0,4,0,0,1,1,0,0,6,2375,1425,148,1,T,-196.7953992
871,25,male,1,0,1,9,2,4,4,2,1,0,4,0,0,1,0,0,1,4,1206,1085,296,1,T,53.11612737
29,23,male,3,3,2,15,4,4,4,2,1,1,3,0,0,0,1,0,0,2,3368,2694,414,1,T,370.8472316
141,28,female,1,4,2,18,4,4,2,2,1,0,4,0,1,1,0,0,1,6,1887,1698,312,1,T,-128.9621137
252,26,female,2,0,1,15,2,4,3,2,1,1,2,0,0,0,1,0,0,6,2687,2687,791,1,T,-119.7198914
733,34,female,3,3,1,24,2,3,3,2,2,0,4,0,0,1,1,0,0,1,1525,1372,347,1,T,295.0401239
620,28,male,3,0,2,6,4,1,2,2,1,0,1,0,0,1,1,0,0,4,1382,1243,237,1,T,350.1597621
304,57,male,3,4,1,12,4,4,4,1,1,1,4,0,0,0,0,0,0,6,1264,1137,275,1,T,140.6726
545,41,male,3,4,2,9,4,4,4,1,1,1,4,0,0,0,0,0,0,5,1244,995,138,1,T,333.2968604
557,23,female,1,1,2,24,3,2,3,2,1,1,3,0,0,0,1,0,0,4,1553,1242,193,1,T,140.2153036
661,74,male,3,0,1,24,4,2,2,3,1,0,3,0,0,1,1,0,1,6,4526,2263,336,1,T,-225.4961459
287,35,male,0,0,1,24,2,4,1,2,1,0,4,0,0,1,1,0,1,4,2439,2195,-1208,0,T,-210.3925114
614,27,female,3,3,2,27,3,2,2,2,1,0,2,0,0,1,0,0,0,2,8613,7751,1442,1,T,524.2770906
145,30,male,0,0,1,12,2,3,2,2,1,0,2,0,0,1,0,0,0,3,1620,972,200,1,T,-184.8667792
329,63,female,3,4,1,15,4,4,4,2,1,0,4,0,0,1,0,0,0,3,1520,1064,225,1,T,751.0143725
487,25,male,3,0,1,10,2,2,2,1,1,1,2,0,1,0,0,0,1,3,2210,1989,-948,0,T,102.0374009
855,24,male,0,0,1,12,1,4,2,1,1,0,4,0,1,1,0,0,1,4,626,563,-231,0,T,-305.501131
851,28,female,3,0,1,24,2,2,2,2,1,0,4,0,0,1,0,0,0,4,1413,1413,426,1,T,-43.87411135
630,20,male,3,4,1,12,2,4,1,2,1,1,1,0,0,0,0,0,0,2,4675,2805,673,1,T,615.1002978
498,33,male,3,0,1,30,4,2,2,2,1,0,4,0,0,1,1,0,0,4,2831,2264,535,1,T,50.57297746
858,27,female,1,0,2,36,4,4,1,2,1,0,4,0,0,1,0,0,0,1,2820,2256,-1037,0,T,-1085.80539
816,38,male,1,1,2,24,2,3,3,2,1,0,2,0,1,1,1,0,0,1,3512,3160,561,1,T,-339.1172811
619,74,male,1,0,1,9,1,4,4,3,2,0,2,0,1,0,1,0,0,2,5129,3077,-1488,0,T,-651.3659387
576,32,female,0,4,1,24,2,4,3,2,1,1,4,0,0,0,0,0,0,1,1285,1156,-424,0,T,85.19694147
490,29,male,3,4,2,18,4,3,2,2,1,0,4,0,0,1,1,0,0,4,1169,701,70,1,T,654.8921213
736,26,female,3,0,2,36,3,2,2,3,1,0,4,0,0,1,1,0,0,4,4463,3124,-1012,0,T,-130.2025621
103,44,female,0,2,1,6,2,3,2,2,2,1,2,0,0,0,0,0,1,4,2647,2647,770,1,T,348.124027
316,29,female,1,3,1,24,4,4,4,2,1,1,2,0,0,0,0,0,0,2,7758,4654,900,1,T,10.08719923
51,27,male,0,0,1,24,2,1,1,2,1,0,4,0,0,1,0,0,0,1,3123,2498,-1330,0,T,-719.1654937
907,25,male,3,4,1,36,2,4,2,2,1,0,4,0,0,1,0,0,0,4,2394,1436,283,1,T,260.8582479
290,38,male,0,0,2,12,4,4,2,1,1,0,4,0,1,1,0,1,0,1,2171,1519,261,1,T,-345.7463529
650,29,female,1,1,1,36,2,1,1,3,1,1,4,0,0,0,1,0,0,3,9034,7227,-3545,0,T,-878.1179896
998,25,female,1,1,1,15,1,2,2,2,1,1,2,0,0,0,0,0,0,1,1264,884,-286,0,T,-953.9248026
811,30,male,0,4,1,24,2,2,1,2,1,0,1,0,0,1,1,1,0,3,7721,4632,993,1,T,12.87692292
282,24,female,0,0,2,36,4,4,3,2,1,0,4,0,0,1,1,0,0,2,9629,5777,-1853,0,T,-34.82961519
143,30,female,1,4,1,12,2,2,2,2,1,0,4,0,0,1,0,0,0,2,2028,1825,518,1,T,553.0575752
442,35,male,0,4,1,24,2,2,2,2,1,0,4,0,0,1,0,0,0,1,1381,1242,-443,0,T,-52.23769803
285,23,female,3,0,1,18,2,4,1,2,1,0,4,0,0,1,0,0,1,0,1943,1360,-792,0,T,100.0821081
682,62,male,3,2,1,6,2,4,2,2,1,0,1,0,0,1,0,0,1,0,1338,936,181,1,T,742.1455991
48,22,female,1,1,1,24,2,2,1,2,1,1,3,0,0,0,1,0,0,4,3092,1546,-790,0,T,-484.236664
501,35,male,3,4,1,36,2,4,2,1,2,0,2,0,0,0,1,0,0,5,9055,5433,1032,1,T,-212.3104259
716,45,male,0,0,1,12,1,1,4,1,1,0,4,0,1,1,0,0,0,0,339,271,59,1,T,-617.9816322
511,39,male,1,0,2,24,4,3,2,3,2,0,2,0,0,1,1,0,0,0,11938,8356,-3313,0,T,-487.4858004
295,31,female,3,4,1,24,2,2,3,2,1,0,4,0,1,1,1,0,0,3,929,557,123,1,T,725.975463
536,23,male,1,0,1,24,2,2,1,1,1,0,4,0,1,1,0,0,1,1,1246,1121,-569,0,T,-643.8271564
693,21,male,0,0,1,18,4,4,1,2,1,1,4,0,0,0,0,0,0,3,1049,944,286,1,T,-408.5586898
214,27,male,3,0,2,15,2,3,1,1,1,0,2,0,1,1,0,0,0,3,2708,1354,151,1,T,-308.9590042
918,65,male,0,0,2,21,4,4,4,2,1,0,4,0,0,1,0,0,1,1,571,456,87,1,T,-378.987951
737,22,male,0,0,1,18,2,4,1,2,1,1,1,0,0,0,0,0,0,3,3650,2920,799,1,T,-630.6091683
339,26,male,2,0,1,12,2,1,1,2,1,0,4,0,0,1,0,0,1,1,1330,798,181,1,T,188.5435121
346,35,male,3,0,1,24,2,4,4,3,1,0,4,0,0,1,1,0,0,2,2670,1869,424,1,T,78.26170748
675,23,male,0,0,1,15,2,4,0,2,1,1,1,0,0,0,0,0,0,1,2511,1757,350,1,T,-715.7864456
43,20,male,3,3,1,15,2,3,3,2,1,1,2,0,0,0,0,0,0,1,3186,3186,862,1,T,275.2948661
1,67,female,0,4,2,6,4,4,4,2,1,0,4,0,0,1,1,0,1,4,1169,1052,243,1,T,810.737486
910,36,female,1,4,2,20,3,4,3,3,2,1,3,0,1,0,1,0,0,2,7057,5645,807,1,T,689.2326904
590,31,female,3,4,1,36,3,2,3,3,2,0,3,0,1,1,1,0,0,2,8947,6262,1377,1,T,1151.115823
959,60,female,0,0,2,12,4,3,4,2,1,0,3,0,0,1,0,0,0,3,2246,1572,-654,0,T,-213.4747466
796,37,female,1,0,3,9,4,4,4,1,1,0,2,0,0,1,0,0,1,4,1154,692,41,1,T,-146.4869424
628,26,male,3,0,2,18,4,2,2,2,1,0,2,0,0,1,0,0,0,4,2404,1923,380,1,T,94.9529827
233,34,male,0,0,1,24,2,1,3,3,1,0,2,0,0,0,1,0,0,2,2910,1455,306,1,T,-1.996882479
293,22,male,0,0,1,9,2,4,1,2,1,1,3,0,0,0,0,0,0,4,1366,1092,-502,0,T,-300.5295376
573,41,male,3,3,2,6,4,2,2,1,1,0,2,0,1,1,0,0,1,1,250,150,22,1,T,538.4841737
369,47,male,3,0,3,24,4,3,1,2,1,0,3,0,0,0,1,0,0,4,5103,4592,439,1,T,-561.6161806
451,24,male,0,0,1,24,2,4,1,2,1,1,4,0,0,0,0,0,0,1,1207,844,-375,0,T,-930.315836
86,33,female,0,0,2,20,4,2,2,2,1,1,4,1,1,0,0,1,0,1,2235,1341,-603,0,T,-727.0345482
483,35,female,3,0,2,18,4,2,1,3,1,0,3,0,0,1,1,0,0,3,3780,1890,231,1,T,-150.7102205
327,57,male,3,0,3,12,4,4,4,1,1,0,2,0,1,0,0,0,0,5,2748,1648,115,1,T,-501.2707472
622,31,male,0,0,1,18,0,1,3,2,1,0,3,0,1,1,1,0,0,6,3104,2483,724,1,T,-1105.760529
355,34,female,2,0,1,18,2,1,2,1,2,0,2,0,0,1,0,0,1,3,2864,1718,-559,0,T,340.0320574
819,20,male,0,1,1,12,2,1,3,2,1,0,4,0,0,1,0,0,0,4,674,606,-211,0,T,560.3509175
812,23,male,0,2,2,33,4,4,2,2,1,0,1,0,0,1,0,0,0,3,4281,2996,-1312,0,T,-340.3868842
49,23,male,1,0,1,12,4,1,2,1,1,0,1,0,0,1,0,0,1,4,3573,2501,590,1,T,251.1965827
361,28,female,3,0,1,36,2,2,2,3,1,0,4,0,0,1,1,0,0,3,3349,2344,-1215,0,T,-437.7554369
885,59,male,0,0,1,9,2,4,3,2,1,0,3,0,0,1,0,0,1,4,1364,1091,276,1,T,564.1896018
242,42,male,3,0,2,12,4,2,0,3,1,0,4,0,1,1,1,0,0,6,2292,2292,-1437,0,T,-462.97565
440,31,male,3,0,1,9,4,3,0,3,1,0,2,0,0,1,0,0,0,3,2406,1924,437,1,T,274.6459441
758,33,female,3,4,2,24,4,2,2,2,1,0,3,0,0,1,1,0,0,5,1927,1156,193,1,T,265.2704002
817,25,female,3,0,1,24,2,4,3,2,1,1,2,0,0,0,1,0,0,3,3972,2383,396,1,T,-45.11401802
818,31,male,3,0,2,12,2,2,3,3,2,1,4,0,0,0,1,0,0,4,1963,1177,172,1,T,137.9405334
247,34,female,1,0,1,12,2,1,1,3,1,1,3,0,0,0,0,0,1,3,3017,2715,656,1,T,-427.6674414
751,34,male,1,1,1,15,1,2,0,3,2,0,1,0,0,1,1,0,0,1,6850,3425,-1718,0,T,-826.6388114
219,40,male,0,4,2,21,1,2,2,1,2,0,4,0,0,1,0,0,0,1,1647,1152,-610,0,T,-656.5668334
135,26,male,0,0,1,21,2,4,3,1,1,1,1,0,0,0,0,0,0,3,3599,2159,426,1,T,-238.8372243
961,45,male,3,4,1,15,2,4,4,2,2,0,4,0,1,0,0,0,0,2,1300,780,130,1,T,618.4555883
958,27,male,3,0,2,24,2,3,1,1,1,0,4,0,0,1,0,0,0,0,937,655,103,1,T,-436.3432139
377,30,female,3,4,1,21,4,4,4,3,1,0,4,0,0,0,1,0,0,1,12680,6340,-2703,0,T,240.1573624
408,40,female,0,4,1,36,2,4,4,3,1,0,4,0,0,1,1,0,0,5,1977,1383,-961,0,T,-298.5166564
884,63,male,0,0,2,24,4,4,4,2,1,0,4,0,0,1,1,0,0,2,2957,1774,277,1,T,-168.0394893
565,27,male,3,4,2,36,3,4,1,2,1,1,4,0,0,0,1,0,0,6,7980,5586,-3503,0,T,-490.0700941
467,50,female,2,0,1,6,4,4,2,1,1,0,2,0,0,1,0,0,0,5,1047,523,73,1,T,495.9503719
356,27,female,1,1,1,12,4,1,1,2,1,0,4,0,0,1,0,0,0,1,1995,1795,579,1,T,-106.6068879
130,28,male,1,0,1,36,2,4,1,3,1,1,1,0,0,0,1,0,0,2,9398,6578,-2415,0,T,-835.4341216
891,46,female,3,0,2,15,3,2,1,1,1,0,1,0,0,1,0,0,0,2,3594,3594,824,1,T,371.3881354
65,27,male,0,0,1,18,2,1,0,0,1,0,4,0,0,1,0,0,1,5,750,525,-403,0,T,-321.6831472
842,31,female,3,2,1,21,2,2,3,3,1,0,1,0,1,1,0,0,0,1,2782,1669,366,1,T,337.6027958
359,33,female,1,0,1,36,2,1,1,1,1,1,4,0,0,0,0,0,0,0,2384,1907,-594,0,T,-1072.055284
992,39,male,0,0,1,24,2,2,4,3,1,1,4,0,0,0,1,0,0,3,3345,2676,-971,0,T,-691.0555727
124,51,male,3,2,1,9,2,4,4,1,1,0,2,0,0,0,0,0,0,1,2507,1504,262,1,T,-6.757420659
77,59,female,3,4,1,15,4,4,4,2,1,0,1,0,0,1,1,0,0,1,5045,3027,507,1,T,578.9110945
218,34,male,1,0,1,24,3,2,0,3,1,0,3,0,0,1,1,0,0,3,2064,1651,-882,0,T,-266.8896278
610,61,female,3,4,1,12,4,2,3,2,1,0,4,0,0,1,0,0,0,5,2012,1207,215,1,T,1079.888936
194,22,male,1,0,1,9,2,2,1,2,1,0,4,0,0,1,1,0,0,4,1670,1503,-488,0,T,-212.0360161
19,28,female,3,0,2,36,3,1,1,2,1,0,1,0,0,1,0,0,0,6,9572,6700,-4386,0,T,-838.8588903
273,24,female,0,0,1,12,2,2,2,1,1,0,4,0,0,1,0,0,1,1,1228,736,-376,0,T,-158.9748991
418,26,male,0,0,2,21,3,1,1,2,1,0,2,0,0,1,0,0,0,5,3414,2048,-1278,0,T,-437.7259774
543,21,male,1,0,1,18,2,3,2,2,1,1,1,0,0,0,1,0,0,2,2779,1667,394,1,T,-345.6352955
419,36,male,1,0,1,18,4,4,4,2,2,0,4,0,1,1,1,0,0,1,884,442,-134,0,T,-425.011461
686,40,male,3,4,1,10,2,3,3,2,1,0,4,0,0,1,1,0,0,0,894,715,162,1,T,1087.73758
403,26,female,3,4,2,10,4,1,2,2,1,0,2,0,0,1,0,1,0,3,2069,1862,428,1,T,686.3554281
